iter	Passed	Remaining
0	161	32067
1	171	17008
2	183	12022
3	194	9527
4	207	8106
5	219	7097
6	230	6355
7	241	5787
8	252	5348
9	263	5002
10	274	4718
11	285	4478
12	296	4265
13	307	4084
14	318	3928
15	330	3796
16	341	3674
17	352	3567
18	364	3470
19	375	3383
20	387	3301
21	400	3243
22	412	3174
23	423	3108
24	435	3050
25	447	2995
26	459	2942
27	470	2891
28	482	2845
29	494	2801
30	505	2756
31	517	2715
32	528	2676
33	543	2655
34	555	2620
35	569	2594
36	588	2593
37	603	2573
38	618	2554
39	634	2536
40	649	2517
41	664	2498
42	680	2485
43	698	2476
44	713	2459
45	728	2439
46	740	2411
47	753	2386
48	765	2359
49	777	2331
50	793	2319
51	810	2306
52	822	2280
53	837	2264
54	849	2239
55	861	2214
56	873	2191
57	886	2169
58	898	2146
59	910	2124
60	922	2103
61	934	2081
62	946	2058
63	958	2036
64	972	2019
65	985	2000
66	997	1979
67	1008	1957
68	1021	1938
69	1033	1918
70	1044	1898
71	1056	1878
72	1068	1859
73	1079	1838
74	1093	1823
75	1106	1806
76	1121	1791
77	1133	1773
78	1146	1755
79	1158	1737
80	1170	1719
81	1181	1699
82	1193	1683
83	1206	1666
84	1217	1647
85	1229	1629
86	1240	1611
87	1255	1597
88	1266	1580
89	1278	1562
90	1291	1546
91	1302	1528
92	1314	1512
93	1326	1496
94	1338	1479
95	1349	1462
96	1361	1445
97	1373	1429
98	1384	1412
99	1399	1399
100	1410	1382
101	1422	1366
102	1434	1350
103	1445	1334
104	1457	1319
105	1470	1304
106	1483	1288
107	1494	1273
108	1506	1257
109	1518	1242
110	1531	1228
111	1544	1213
112	1556	1198
113	1568	1183
114	1580	1167
115	1592	1152
116	1603	1137
117	1615	1122
118	1626	1107
119	1637	1091
120	1649	1077
121	1661	1062
122	1675	1048
123	1687	1034
124	1700	1020
125	1715	1007
126	1727	993
127	1738	978
128	1750	963
129	1762	949
130	1777	936
131	1792	923
132	1808	911
133	1820	896
134	1831	882
135	1843	867
136	1855	853
137	1868	839
138	1879	825
139	1892	810
140	1903	796
141	1914	782
142	1926	768
143	1938	753
144	1949	739
145	1963	726
146	1975	712
147	1988	698
148	2000	684
149	2012	670
150	2023	656
151	2034	642
152	2046	628
153	2058	614
154	2069	600
155	2081	587
156	2097	574
157	2109	560
158	2123	547
159	2136	534
160	2149	520
161	2161	506
162	2173	493
163	2186	479
164	2199	466
165	2210	452
166	2222	439
167	2237	426
168	2248	412
169	2259	398
170	2271	385
171	2283	371
172	2296	358
173	2307	344
174	2319	331
175	2331	317
176	2342	304
177	2354	290
178	2365	277
179	2378	264
180	2391	251
181	2402	237
182	2414	224
183	2426	211
184	2438	197
185	2450	184
186	2462	171
187	2474	157
188	2485	144
189	2499	131
190	2511	118
191	2525	105
192	2537	92
193	2549	78
194	2560	65
195	2572	52
196	2584	39
197	2596	26
198	2607	13
199	2619	0
